,mNo,SN,Species,PhyloCode,Common.name,Lab.ID,Location.code,OLD.Location.code,ID_Loc,Major.Loc.x,Minor.Loc,Latitude,Longitude,Elevation_m,Habitat.Type.20m,Band.No.,Day,Month,Year,Extracted,Infected.N,Sequencing,Lineage,G_Lineage.name,Inf_Plas,Inf_Haem,Inf_Leuco,multiple,Phylo.Lineage.Name,ECO_feedStrata,ECO_socialRoost,ECO_feedType,ECO_habitat,ECO_weight,ECO_sdm,ECO_minElev,ECO_connect,ECO_range,ECO_socialForage,ECO_minElev.Num,ECO_maxElev.Num,ECO_range.Num,ECO_feedStrata.Num,ECO_weight.Num,Left.T1,Left.T2,Left.T3,Right.T1,Right.T2,Right.T3,Left.Wing1,Left.Wing2,Left.Wing3,Right.Wing1,Right.Wing2,Right.Wing3,Tail1,Tail2,Tail3,Bill1,Bill2,Bill3,Bill.nares,Bill.width,IND_IndivWeight,longest.primary,longest.secondary,Age,Sex,IND_Av.RT,IND_Av.LT,IND_Av.T,IND_Av.RWing,IND_Av.LWing,IND_Av.Wing,IND_Av.Tail,IND_Av.Bill,IND_Std.T,IND_Std.Wing,IND_Std.Tail,IND_Std.Bill,IND_Std.Wt,IND_AbsLR.T,IND_AbsLR.Wing
1,1,165,Eumyias_albicaudatus,Eumalbica,NILGIRI FLYCATCHER,EAD21,IV,D,EAD21,Peppara,Pandipath,8.673157,77.198868,1355,Forest + Grassland,51253,22,5,2012,yes,0,NA,NA,NA,0,0,0,0,NA,02.high,01.non social,01.insectivore,01.forest,01.low,02.yes,02.middle,01.breaks,02.specialist,01.Single,1000,2500,1500,3.58,16.4,18.82,18.89,18.78,19.07,19.21,19.13,72,72,72,75,75,75,60,60,60,14.7,14.65,14.59,0,0,24,0,0,0,M,19.13666667,18.83,18.98333333,75,72,73.5,60,14.64666667,0.475213786,0.332581823,-0.041745574,0.475891254,-0.365384025,0.306666667,3
2,2,169,Eumyias_albicaudatus,Eumalbica,NILGIRI FLYCATCHER,EAD21,IV,D,EAD21,Peppara,Pandipath,8.673157,77.198868,1355,Forest + Grassland,51252,22,5,2012,yes,0,NA,NA,NA,0,0,0,0,NA,02.high,01.non social,01.insectivore,01.forest,01.low,02.yes,02.middle,01.breaks,02.specialist,01.Single,1000,2500,1500,3.58,16.4,17.12,17.1,17.18,17.19,17.16,17.15,75,75,75,75,75,75,53,53,53,12.89,12.8,12.93,0,0,27,0,0,J,M,17.16666667,17.13333333,17.15,75,75,75,53,12.87333333,0.017952113,0.410210993,-0.691680981,-0.235923074,-0.067064156,0.033333333,0
3,3,58,Anthus_nilghiriensis,Antnilghi,NILGIRI PIPIT,ANB6,II,B,ANB6,Silent valley,SV1,11.20073,76.44337,2082,Shola-Grassland,264652,21,4,2013,yes,0,NA,NA,NA,0,0,0,0,NA,01.low,01.non social,01.insectivore,02.grassland,01.low,01.no,03.high,01.breaks,02.specialist,03.Pairs,1900,2500,600,0,22.03,24.7,24.84,24.78,24.89,24.51,24.72,80,80,80,80,80,80,66,66,66,16.2,16.07,16.49,8.55,3.63,53,80,62,A,0,24.70666667,24.77333333,24.74,80,80,80,66,16.25333333,0.844608718,0.882379203,0.7192621,0.507224751,0.948763312,0.066666667,0
4,4,68,Anthus_nilghiriensis,Antnilghi,NILGIRI PIPIT,ANC3,III,C,ANC3,Munnar,Rhodovalley,10.09883,77.18898,2470,Forest + Grassland,264272,20,2,2013,yes,0,NA,NA,NA,0,0,0,0,NA,01.low,01.non social,01.insectivore,02.grassland,01.low,01.no,03.high,01.breaks,02.specialist,03.Pairs,1900,2500,600,0,22.03,24.23,24.13,24.18,24.6,24.68,24.66,78,78,78,78,78,78,65,65,65,16.21,15.94,16.2,8.85,4.23,49,72,58,0,0,24.64666667,24.18,24.41333333,78,78,78,65,16.11666667,0.791297935,0.781775399,0.366970459,0.340521626,0.751617689,0.466666667,0
5,5,64,Anthus_nilghiriensis,Antnilghi,NILGIRI PIPIT,ANC4,III,C,ANC4,Munnar,Rhodovalley,10.09883,77.18898,2470,Forest + Grassland,264273,20,2,2013,yes,0,NA,NA,NA,0,0,0,0,NA,01.low,01.non social,01.insectivore,02.grassland,01.low,01.no,03.high,01.breaks,02.specialist,03.Pairs,1900,2500,600,0,22.03,24.27,24.21,24.01,24.01,24.33,24.32,77,77,77,77,77,77,65,65,65,16.14,16.12,16.22,8.94,4.3,43,72,57,0,0,24.22,24.16333333,24.19166667,77,77,77,65,16.16,0.755122761,0.731473496,0.366970459,0.393378714,0.455899254,0.056666667,0
6,6,59,Anthus_nilghiriensis,Antnilghi,NILGIRI PIPIT,ANC5,III,C,ANC5,Munnar,Rhodovalley,10.09883,77.18898,2470,Forest + Grassland,264275,21,2,2013,yes,0,NA,NA,NA,0,0,0,0,NA,01.low,01.non social,01.insectivore,02.grassland,01.low,01.no,03.high,01.breaks,02.specialist,03.Pairs,1900,2500,600,0,22.03,22.78,22.62,22.65,23.27,23.39,23.17,74,74,74,73,73,73,66,66,66,15.84,16.16,15.94,8.9,3.79,27,74,55,0,0,23.27666667,22.68333333,22.98,73,74,73.5,66,15.98,0.557383275,0.555416838,0.7192621,0.173818502,-0.332683239,0.593333333,1
7,7,73,Anthus_nilghiriensis,Antnilghi,NILGIRI PIPIT,ANC6,III,C,ANC6,Munnar,Rhodovalley,10.09883,77.18898,2470,Forest + Grassland,264278,21,2,2013,yes,0,NA,NA,NA,0,0,0,0,NA,01.low,01.non social,01.insectivore,02.grassland,01.low,01.no,03.high,01.breaks,02.specialist,03.Pairs,1900,2500,600,0,22.03,23.6,23.79,23.89,23.83,23.95,23.84,75,75,75,74,74,74,61,61,61,17.27,16.52,16.64,8.59,4.24,45,73,56,0,0,23.87333333,23.76,23.81666667,74,75,74.5,61,16.81,0.693924158,0.60571874,-1.042196104,1.186235038,0.554472065,0.113333333,1
8,8,60,Anthus_nilghiriensis,Antnilghi,NILGIRI PIPIT,ANC7,III,C,ANC7,Munnar,Rhodovalley,10.09883,77.18898,2470,Forest + Grassland,264279,21,2,2013,yes,0,NA,NA,NA,0,0,0,0,NA,01.low,01.non social,01.insectivore,02.grassland,01.low,01.no,03.high,01.breaks,02.specialist,03.Pairs,1900,2500,600,0,22.03,24.36,24.59,24.67,24.79,24.74,24.95,79,79,79,79,79,79,65,65,65,16.33,15.75,15.83,8.62,4.13,49,77,65,0,0,24.82666667,24.54,24.68333333,79,79,79,65,15.97,0.835360929,0.832077301,0.366970459,0.161620712,0.751617689,0.286666667,0
9,9,66,Anthus_nilghiriensis,Antnilghi,NILGIRI PIPIT,ANC8,III,C,ANC8,Munnar,Rhodovalley,10.09883,77.18898,2470,Forest + Grassland,264281,21,2,2013,yes,0,NA,NA,NA,0,0,0,0,NA,01.low,01.non social,01.insectivore,02.grassland,01.low,01.no,03.high,01.breaks,02.specialist,03.Pairs,1900,2500,600,0,22.03,24.3,24.23,24.37,24.35,24.41,24.63,71,71,71,72,72,72,61,61,61,15.92,16.02,15.79,8.73,4.19,45,66,51,0,0,24.46333333,24.3,24.38166667,72,71,71.5,61,15.91,0.786130053,0.454813033,-1.042196104,0.088433975,0.554472065,0.163333333,1
10,10,65,Anthus_nilghiriensis,Antnilghi,NILGIRI PIPIT,ANC9,III,C,ANC9,Munnar,Rhodovalley,10.09883,77.18898,2470,Forest + Grassland,264284,22,2,2013,yes,0,NA,NA,NA,0,0,0,0,NA,01.low,01.non social,01.insectivore,02.grassland,01.low,01.no,03.high,01.breaks,02.specialist,03.Pairs,1900,2500,600,0,22.03,23.28,23.56,23.35,23.6,23.45,23.84,79,79,79,81,81,81,67,67,67,16.74,16.36,16.71,8.6,3.77,49,76,64,0,0,23.63,23.39666667,23.51333333,81,79,80,67,16.60333333,0.644421288,0.882379203,1.071553741,0.934147386,0.751617689,0.233333333,2
